TABLEU,C1_AGE,C1_RANKING,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_HANDNESS,C2_WEAPON,WINNER
16,17,160,0.0,1.0,17,341,0.0,1.0,0.0
16,22,325,0.0,1.0,20,281,1.0,1.0,1.0
16,15,321,0.0,1.0,19,283,0.0,1.0,1.0
16,16,336,0.0,1.0,28,86,0.0,1.0,1.0
16,22,191,0.0,1.0,23,254,1.0,1.0,1.0
16,17,333,0.0,1.0,29,155,0.0,2.0,1.0
16,24,102,0.0,1.0,19,328,0.0,1.0,0.0
16,16,339,0.0,1.0,22,133,0.0,1.0,1.0
8,17,160,0.0,1.0,20,281,1.0,1.0,0.0
8,19,283,0.0,1.0,28,86,0.0,1.0,1.0
8,23,254,1.0,1.0,29,155,0.0,2.0,0.0
8,24,102,0.0,1.0,22,133,0.0,1.0,1.0
4,17,160,0.0,1.0,28,86,0.0,1.0,0.0
4,23,254,1.0,1.0,22,133,0.0,1.0,1.0
2,17,160,0.0,1.0,22,133,0.0,1.0,0.0
32,23,388,0.0,2.0,32,499,0.0,2.0,1.0
32,22,65,0.0,2.0,22,582,0.0,2.0,0.0
32,17,472,0.0,2.0,45,565,0.0,2.0,0.0
32,20,527,0.0,2.0,21,118,1.0,2.0,1.0
32,20,78,0.0,2.0,20,560,0.0,2.0,0.0
32,32,114,1.0,2.0,24,105,0.0,2.0,1.0
32,33,4,1.0,2.0,20,513,0.0,2.0,0.0
32,37,337,1.0,2.0,31,76,0.0,2.0,1.0
32,34,122,0.0,2.0,19,547,0.0,2.0,0.0
32,18,355,0.0,2.0,24,594,0.0,2.0,0.0
32,21,304,0.0,2.0,37,574,0.0,2.0,0.0
32,22,413,1.0,2.0,29,148,0.0,2.0,1.0
32,21,159,0.0,2.0,23,317,0.0,2.0,0.0
32,16,569,1.0,2.0,22,87,0.0,2.0,1.0
32,21,389,0.0,2.0,24,493,0.0,2.0,1.0
32,21,316,1.0,2.0,17,416,0.0,2.0,0.0
16,32,499,0.0,2.0,22,65,0.0,2.0,1.0
16,17,472,0.0,2.0,21,118,1.0,2.0,1.0
16,20,78,0.0,2.0,24,105,0.0,2.0,0.0
16,33,4,1.0,2.0,31,76,0.0,2.0,0.0
16,34,122,0.0,2.0,18,355,0.0,2.0,1.0
16,21,304,0.0,2.0,29,148,0.0,2.0,1.0
16,21,159,0.0,2.0,22,87,0.0,2.0,0.0
16,24,493,0.0,2.0,21,316,1.0,2.0,1.0
8,22,65,0.0,2.0,21,118,1.0,2.0,1.0
8,20,78,0.0,2.0,33,4,1.0,2.0,1.0
8,18,355,0.0,2.0,29,148,0.0,2.0,1.0
8,21,159,0.0,2.0,21,316,1.0,2.0,0.0
4,21,118,1.0,2.0,33,4,1.0,2.0,1.0
4,29,148,0.0,2.0,21,159,0.0,2.0,0.0
2,33,4,1.0,2.0,29,148,0.0,2.0,0.0
32,26,43,0.0,2.0,22,323,0.0,2.0,1.0
32,21,161,1.0,2.0,22,426,0.0,2.0,0.0
32,19,277,1.0,2.0,23,347,0.0,2.0,1.0
32,19,404,0.0,2.0,23,95,1.0,2.0,1.0
32,29,54,0.0,2.0,17,413,0.0,2.0,0.0
32,18,353,0.0,2.0,19,384,0.0,2.0,0.0
32,20,390,0.0,2.0,24,58,1.0,2.0,1.0
32,23,147,0.0,2.0,28,415,1.0,2.0,0.0
32,23,143,0.0,2.0,21,324,1.0,2.0,0.0
32,22,125,0.0,2.0,21,299,1.0,2.0,0.0
32,22,101,0.0,2.0,18,398,0.0,2.0,0.0
32,27,23,0.0,2.0,24,211,0.0,2.0,0.0
32,23,69,0.0,2.0,20,289,1.0,2.0,0.0
32,18,359,0.0,2.0,24,433,0.0,2.0,0.0
32,18,260,0.0,2.0,18,401,0.0,2.0,0.0
32,24,276,1.0,2.0,28,85,0.0,2.0,1.0
16,26,43,0.0,2.0,21,161,1.0,2.0,0.0
16,23,347,0.0,2.0,23,95,1.0,2.0,1.0
16,29,54,0.0,2.0,18,353,0.0,2.0,0.0
16,24,58,1.0,2.0,23,147,0.0,2.0,0.0
16,23,143,0.0,2.0,22,125,0.0,2.0,0.0
16,22,101,0.0,2.0,27,23,0.0,2.0,1.0
16,23,69,0.0,2.0,18,359,0.0,2.0,0.0
16,18,260,0.0,2.0,28,85,0.0,2.0,1.0
8,26,43,0.0,2.0,23,95,1.0,2.0,1.0
8,29,54,0.0,2.0,24,58,1.0,2.0,0.0
8,23,143,0.0,2.0,27,23,0.0,2.0,1.0
8,23,69,0.0,2.0,28,85,0.0,2.0,1.0
